Layer name,WBUF access,IBUF access,OBUF access,BUBF access,VMEM access,IMM access,InsMem access,DARM access filter,DRAM access ifmap,DRAM access psum,DRAM access ofmap,DRAM access bias,total DRAM access,SA compute cycles,SA stall cycles,SIMD compute cycles,SIMD stall cycles,total cycles,Op count
ReLU,0,0.0,0.0,0,1204224.0,802816.0,50176.0,0.0,802816.0,0.0,401408.0,0,1204224.0,0,0,12988416,38535168.0,51523584.0,205520896.0
Convolution,51380224.0,3211264.0,12443648.0,401408.0,0,0,0,64.0,401408.0,0.0,401408.0,0.5,802880.5,102948608,8192.0,0,0,102956800.0,52613349376.0
BatchNorm,0,0.0,0.0,0,9633795.0,0.0,200704.375,0.0,7626757.5,0.0,0.0,0,7626757.5,0,0,51380320.0,244056240.0,295436560.0,822085120.0
ReLU,0,0.0,0.0,0,602112.0,401408.0,25088.0,0.0,401408.0,0.0,200704.0,0,602112.0,0,0,6494208,19267584.0,25761792.0,102760448.0
Convolution,57802752.0,3612672.0,14350336.0,100352.0,0,0,0,288.0,451584.0,1605632.0,100352.0,0.5,2157856.5,116028864,6144.0,0,0,116035008.0,59190018048.0
BatchNorm,0,0.0,0.0,0,2408451.0,0.0,50176.375,0.0,1906693.5,0.0,0.0,0,1906693.5,0,0,12845152.0,61014192.0,73859344.0,205522432.0
ReLU,0,0.0,0.0,0,150528.0,100352.0,6272.0,0.0,100352.0,0.0,50176.0,0,150528.0,0,0,1623552,4816896.0,6440448.0,25690112.0
Convolution,25690112.0,1605632.0,6021120.0,401408.0,0,0,0,128.0,50176.0,802816.0,401408.0,2.0,1254530.0,51756544,25508160.0,0,0,77264704.0,26306674688.0
BatchNorm,0,0.0,0.0,0,9633804.0,0.0,200705.5,0.0,7626774.0,0.0,0.0,0,7626774.0,0,0,51380608.0,244056768.0,295437376.0,822089728.0
Convolution,51380224.0,3211264.0,12443648.0,401408.0,0,0,0,256.0,100352.0,2408448.0,401408.0,2.0,2910466.0,103513088,76512064.0,0,0,180025152.0,52613349376.0
BatchNorm,0,0.0,0.0,0,9633804.0,0.0,200705.5,0.0,7626774.0,0.0,0.0,0,7626774.0,0,0,51380608.0,244056768.0,295437376.0,822089728.0
ElemAdd,0,0.0,0.0,0,1204224.0,0.0,25088.0,0.0,802816.0,0.0,401408.0,0,1204224.0,0,0,6485248,38535168.0,45020416.0,102760448.0
ReLU,0,0.0,0.0,0,602112.0,401408.0,25088.0,0.0,401408.0,0.0,200704.0,0,602112.0,0,0,6494208,19267584.0,25761792.0,102760448.0
Convolution,25690112.0,1605632.0,6322176.0,100352.0,0,0,0,128.0,200704.0,200704.0,100352.0,0.5,501888.5,51474304,8192.0,0,0,51482496.0,26306674688.0
BatchNorm,0,0.0,0.0,0,2408451.0,0.0,50176.375,0.0,1906693.5,0.0,0.0,0,1906693.5,0,0,12845152.0,61014192.0,73859344.0,205522432.0
ReLU,0,0.0,0.0,0,150528.0,100352.0,6272.0,0.0,100352.0,0.0,50176.0,0,150528.0,0,0,1623552,4816896.0,6440448.0,25690112.0
Convolution,57802752.0,3612672.0,14350336.0,100352.0,0,0,0,288.0,451584.0,1605632.0,100352.0,0.5,2157856.5,116028864,6144.0,0,0,116035008.0,59190018048.0
BatchNorm,0,0.0,0.0,0,2408451.0,0.0,50176.375,0.0,1906693.5,0.0,0.0,0,1906693.5,0,0,12845152.0,61014192.0,73859344.0,205522432.0
ReLU,0,0.0,0.0,0,150528.0,100352.0,6272.0,0.0,100352.0,0.0,50176.0,0,150528.0,0,0,1623552,4816896.0,6440448.0,25690112.0
Convolution,25690112.0,1605632.0,6021120.0,401408.0,0,0,0,128.0,50176.0,802816.0,401408.0,2.0,1254530.0,51756544,25508160.0,0,0,77264704.0,26306674688.0
BatchNorm,0,0.0,0.0,0,9633804.0,0.0,200705.5,0.0,7626774.0,0.0,0.0,0,7626774.0,0,0,51380608.0,244056768.0,295437376.0,822089728.0
ElemAdd,0,0.0,0.0,0,1204224.0,0.0,25088.0,0.0,802816.0,0.0,401408.0,0,1204224.0,0,0,6485248,38535168.0,45020416.0,102760448.0
